player,team,position,points,bonus,points p/g,form,minutes,now cost,roi per million,goals,xG,xG per 90,assists,xA,xA per 90,conceded,xGA,conceded - xGA,clean sheets
Ezri Konsa Ngoyo,Aston Villa,Defender,110.0,6.0,2.9,0.0,3322.0,4.5,24.444444444444443,0.0,1.08,0.03,0.0,0.71,0.02,45.0,50.67,-5.670000000000002,12.0
Tyrone Mings,Aston Villa,Defender,130.0,17.0,3.7,0.0,3150.0,4.5,28.88888888888889,1.0,0.96,0.03,3.0,0.95,0.03,40.0,47.28,-7.280000000000001,12.0
Ryan Fredericks,Bournemouth,Defender,12.0,0.0,1.0,0.0,527.0,4.5,2.6666666666666665,0.0,0.0,0.0,0.0,0.29,0.05,11.0,10.14,0.8599999999999994,0.0
Lloyd Kelly,Bournemouth,Defender,60.0,5.0,2.6,0.0,2040.0,4.5,13.333333333333334,0.0,0.17,0.01,2.0,0.7,0.03,38.0,35.92,2.0799999999999983,5.0
Chris Mepham,Bournemouth,Defender,43.0,6.0,1.7,0.0,2197.0,4.5,9.555555555555555,0.0,0.96,0.04,0.0,0.55,0.02,52.0,42.46,9.54,5.0
Marcos Senesi,Bournemouth,Defender,69.0,5.0,2.2,0.0,2489.0,4.5,15.333333333333334,2.0,1.66,0.06,0.0,0.35,0.01,55.0,47.62,7.380000000000003,5.0
Adam Smith,Bournemouth,Defender,74.0,5.0,2.0,0.0,2940.0,4.5,16.444444444444443,0.0,0.5,0.02,1.0,1.57,0.05,58.0,54.01,3.990000000000002,7.0
Illia Zabarnyi,Bournemouth,Defender,7.0,0.0,1.4,0.0,297.0,4.5,1.5555555555555556,0.0,0.0,0.0,0.0,0.01,0.0,5.0,5.12,-0.1200000000000001,0.0
Kristoffer Ajer,Brentford,Defender,29.0,0.0,3.2,0.0,763.0,4.5,6.444444444444445,0.0,0.04,0.0,0.0,0.12,0.01,14.0,11.34,2.66,4.0
Mads Bech Sørensen,Brentford,Defender,4.0,0.0,1.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,-0.28,0.0
Nathan Collins,Brentford,Defender,49.0,6.0,1.9,0.0,1811.0,4.5,10.88888888888889,0.0,0.23,0.01,0.0,0.21,0.01,37.0,32.93,4.07,4.0
Rico Henry,Brentford,Defender,112.0,4.0,3.0,0.0,3240.0,4.5,24.88888888888889,0.0,1.8,0.05,3.0,2.9,0.08,46.0,48.49,-2.490000000000002,11.0
Aaron Hickey,Brentford,Defender,63.0,2.0,2.4,0.0,1918.0,4.5,14.0,0.0,0.38,0.02,3.0,0.58,0.03,30.0,28.13,1.870000000000001,5.0
Ben Mee,Brentford,Defender,143.0,11.0,3.9,0.0,3269.0,5.0,28.6,3.0,3.19,0.09,2.0,0.74,0.02,40.0,46.31,-6.310000000000002,12.0
Ethan Pinnock,Brentford,Defender,112.0,6.0,3.7,0.0,2700.0,4.5,24.88888888888889,3.0,2.73,0.09,0.0,1.11,0.04,34.0,40.17,-6.170000000000002,10.0
Mads Roerslev Rasmussen,Brentford,Defender,48.0,0.0,2.4,0.0,1101.0,4.5,10.666666666666666,0.0,0.28,0.02,0.0,0.82,0.07,12.0,17.67,-5.670000000000002,5.0
Mathias Jorgensen,Brentford,Defender,45.0,4.0,2.5,0.0,1097.0,4.5,10.0,0.0,1.33,0.11,1.0,0.15,0.01,15.0,19.73,-4.73,4.0
Lewis Dunk,Brighton,Defender,112.0,7.0,3.1,0.0,3240.0,5.0,22.4,1.0,1.67,0.05,1.0,0.9,0.02,50.0,46.43,3.5700000000000003,12.0
Pervis Estupiñán,Brighton,Defender,128.0,15.0,3.7,0.0,2674.0,5.0,25.6,1.0,1.8,0.06,7.0,3.88,0.13,43.0,41.6,1.3999999999999986,10.0
Tariq Lamptey,Brighton,Defender,23.0,0.0,1.1,0.0,439.0,4.0,5.75,0.0,0.2,0.04,0.0,0.64,0.13,7.0,6.37,0.6299999999999999,1.0
Jan Paul van Hecke,Brighton,Defender,6.0,0.0,0.8,0.0,291.0,4.0,1.5,0.0,0.55,0.17,0.0,0.04,0.01,7.0,6.72,0.28000000000000025,0.0
Joël Veltman,Brighton,Defender,95.0,6.0,3.1,0.0,2183.0,4.5,21.11111111111111,1.0,1.72,0.07,1.0,1.02,0.04,29.0,27.53,1.4699999999999989,10.0
Adam Webster,Brighton,Defender,75.0,3.0,2.8,0.0,1983.0,4.5,16.666666666666668,0.0,1.72,0.08,0.0,0.45,0.02,27.0,25.8,1.1999999999999993,9.0
César Azpilicueta,Chelsea,Defender,45.0,4.0,1.8,0.0,1521.0,4.5,10.0,0.0,0.35,0.02,0.0,1.25,0.07,21.0,27.38,-6.379999999999999,3.0
Benoît Badiashile,Chelsea,Defender,40.0,2.0,3.6,0.0,904.0,4.5,8.88888888888889,1.0,1.26,0.13,0.0,0.2,0.02,9.0,12.31,-3.3100000000000005,4.0
Trevoh Chalobah,Chelsea,Defender,49.0,1.0,2.0,0.0,1601.0,4.5,10.88888888888889,0.0,0.82,0.05,0.0,0.32,0.02,24.0,30.99,-6.989999999999998,5.0
Ben Chilwell,Chelsea,Defender,70.0,4.0,3.0,0.0,1402.0,5.5,12.727272727272727,2.0,1.57,0.1,3.0,2.49,0.16,19.0,18.25,0.75,4.0
Levi Colwill,Chelsea,Defender,46.0,6.0,2.7,0.0,1218.0,4.5,10.222222222222221,0.0,1.41,0.1,2.0,0.31,0.02,21.0,22.2,-1.1999999999999993,3.0
Marc Cucurella Saseta,Chelsea,Defender,65.0,1.0,2.7,0.0,1669.0,5.0,13.0,0.0,0.38,0.02,2.0,0.96,0.05,20.0,26.03,-6.030000000000001,6.0
Wesley Fofana,Chelsea,Defender,37.0,4.0,2.2,0.0,1362.0,4.5,8.222222222222221,1.0,0.74,0.05,0.0,0.29,0.02,24.0,22.96,1.0399999999999991,2.0
Lewis Hall,Chelsea,Defender,19.0,3.0,2.1,0.0,653.0,4.5,4.222222222222222,0.0,0.83,0.11,0.0,1.46,0.2,11.0,13.29,-2.289999999999999,1.0
Reece James,Chelsea,Defender,44.0,5.0,2.8,0.0,1242.0,5.5,8.0,1.0,1.06,0.08,2.0,2.93,0.21,17.0,14.11,2.8900000000000006,2.0
Thiago Emiliano da Silva,Chelsea,Defender,80.0,8.0,3.0,0.0,2351.0,5.0,16.0,0.0,1.54,0.06,2.0,1.04,0.04,32.0,34.83,-2.8299999999999983,6.0
Joachim Andersen,Crystal Palace,Defender,80.0,1.0,2.5,0.0,2782.0,4.5,17.77777777777778,1.0,1.87,0.06,0.0,1.04,0.03,37.0,36.23,0.7700000000000031,8.0
Nathaniel Clyne,Crystal Palace,Defender,44.0,0.0,2.0,0.0,1638.0,4.5,9.777777777777779,0.0,0.0,0.0,0.0,0.6,0.03,23.0,26.26,-3.2600000000000016,3.0
Marc Guéhi,Crystal Palace,Defender,95.0,2.0,2.6,0.0,3330.0,4.5,21.11111111111111,1.0,1.46,0.04,0.0,0.82,0.02,46.0,46.47,-0.46999999999999886,9.0
Tyrick Mitchell,Crystal Palace,Defender,93.0,7.0,2.6,0.0,2889.0,4.5,20.666666666666668,0.0,0.62,0.02,2.0,1.25,0.04,40.0,42.9,-2.8999999999999986,8.0
Chris Richards,Crystal Palace,Defender,13.0,0.0,1.4,0.0,443.0,4.0,3.25,0.0,0.71,0.14,0.0,0.05,0.01,11.0,11.19,-0.1899999999999995,1.0
James Tomkins,Crystal Palace,Defender,8.0,1.0,1.3,0.0,335.0,4.0,2.0,1.0,0.81,0.22,0.0,0.0,0.0,10.0,9.99,0.009999999999999787,0.0
Joel Ward,Crystal Palace,Defender,78.0,5.0,2.8,0.0,2253.0,4.5,17.333333333333332,1.0,1.12,0.04,0.0,0.83,0.03,35.0,32.15,2.8500000000000014,8.0
Seamus Coleman,Everton,Defender,63.0,5.0,2.7,0.0,1654.0,4.5,14.0,1.0,0.3,0.02,0.0,0.92,0.05,25.0,33.5,-8.5,5.0
Ben Godfrey,Everton,Defender,18.0,0.0,1.4,0.0,801.0,4.5,4.0,0.0,1.24,0.14,1.0,0.08,0.01,18.0,18.17,-0.1700000000000017,1.0
Mason Holgate,Everton,Defender,16.0,2.0,2.0,0.0,506.0,4.0,4.0,0.0,1.0,0.18,0.0,0.17,0.03,9.0,9.49,-0.4900000000000002,2.0
Michael Keane,Everton,Defender,39.0,5.0,3.2,0.0,983.0,4.5,8.666666666666666,1.0,1.29,0.12,2.0,0.83,0.08,22.0,23.98,-1.9800000000000004,2.0
Vitalii Mykolenko,Everton,Defender,75.0,4.0,2.2,0.0,2653.0,4.5,16.666666666666668,0.0,0.54,0.02,1.0,0.91,0.03,46.0,53.67,-7.670000000000002,7.0
Nathan Patterson,Everton,Defender,31.0,0.0,1.6,0.0,1274.0,4.5,6.888888888888889,0.0,0.48,0.03,0.0,0.71,0.05,22.0,25.4,-3.3999999999999986,2.0
James Tarkowski,Everton,Defender,106.0,13.0,2.8,0.0,3420.0,4.5,23.555555555555557,1.0,2.97,0.08,1.0,1.89,0.05,57.0,67.45,-10.450000000000003,9.0
Ashley Young,Everton,Defender,87.0,8.0,3.0,0.0,2031.0,4.5,19.333333333333332,1.0,0.46,0.02,0.0,0.78,0.03,28.0,31.81,-3.8099999999999987,9.0
Issa Diop,Fulham,Defender,79.0,8.0,3.2,0.0,2008.0,4.5,17.555555555555557,1.0,0.29,0.01,0.0,0.49,0.02,26.0,35.86,-9.86,7.0
Kevin Mbabu,Fulham,Defender,7.0,0.0,1.2,0.0,141.0,4.0,1.75,0.0,0.0,0.0,1.0,0.42,0.27,7.0,7.18,-0.17999999999999972,0.0
Tim Ream,Fulham,Defender,98.0,12.0,3.0,0.0,2898.0,4.5,21.77777777777778,1.0,0.24,0.01,0.0,0.27,0.01,44.0,54.05,-10.049999999999997,8.0
Antonee Robinson,Fulham,Defender,93.0,5.0,2.7,0.0,3088.0,4.5,20.666666666666668,0.0,0.07,0.0,2.0,1.68,0.05,44.0,55.11,-11.11,9.0
Kenny Tete,Fulham,Defender,90.0,1.0,2.9,0.0,2569.0,4.5,20.0,1.0,0.74,0.03,5.0,1.9,0.07,36.0,46.78,-10.780000000000001,7.0
Tosin Adarabioyo,Fulham,Defender,49.0,1.0,2.0,0.0,2084.0,4.5,10.88888888888889,1.0,0.71,0.03,0.0,0.47,0.02,39.0,43.91,-4.909999999999997,3.0
Trent Alexander-Arnold,Liverpool,Defender,156.0,21.0,4.2,0.0,2922.0,8.0,19.5,2.0,2.36,0.07,11.0,9.26,0.29,44.0,43.1,0.8999999999999986,10.0
Joe Gomez,Liverpool,Defender,68.0,8.0,3.2,0.0,1461.0,4.5,15.11111111111111,0.0,0.2,0.01,0.0,0.67,0.04,16.0,25.28,-9.280000000000001,8.0
Ibrahima Konaté,Liverpool,Defender,49.0,0.0,2.7,0.0,1551.0,5.0,9.8,0.0,1.21,0.07,0.0,0.65,0.04,22.0,24.34,-2.34,7.0
Joel Matip,Liverpool,Defender,36.0,4.0,2.6,0.0,1091.0,5.0,7.2,1.0,0.87,0.07,0.0,0.93,0.08,20.0,16.46,3.539999999999999,3.0
Nathaniel Phillips,Liverpool,Defender,3.0,0.0,1.5,0.0,65.0,4.0,0.75,0.0,0.04,0.06,0.0,0.01,0.01,1.0,0.48,0.52,0.0
Andrew Robertson,Liverpool,Defender,121.0,10.0,3.6,0.0,2579.0,6.5,18.615384615384617,0.0,1.24,0.04,8.0,6.69,0.23,34.0,36.59,-2.5900000000000034,9.0
Konstantinos Tsimikas,Liverpool,Defender,48.0,2.0,2.4,0.0,762.0,4.5,10.666666666666666,0.0,0.68,0.08,4.0,1.3,0.15,11.0,14.45,-3.4499999999999993,4.0
Virgil van Dijk,Liverpool,Defender,127.0,13.0,4.0,0.0,2835.0,6.0,21.166666666666668,3.0,2.5,0.08,1.0,1.09,0.03,36.0,41.17,-5.170000000000002,11.0
Manuel Akanji,Man City,Defender,82.0,5.0,2.8,0.0,2284.0,5.0,16.4,0.0,1.14,0.04,1.0,0.99,0.04,23.0,21.7,1.3000000000000007,7.0
Nathan Aké,Man City,Defender,92.0,9.0,3.5,0.0,1871.0,5.0,18.4,1.0,1.55,0.07,0.0,1.3,0.06,15.0,16.48,-1.4800000000000004,9.0
João Cancelo,Man City,Defender,73.0,10.0,4.3,0.0,1273.0,6.0,12.166666666666666,2.0,0.83,0.06,2.0,1.53,0.11,16.0,13.34,2.66,6.0
Rúben Gato Alves Dias,Man City,Defender,80.0,1.0,3.1,0.0,1997.0,5.5,14.545454545454545,0.0,1.36,0.06,0.0,0.34,0.02,16.0,17.36,-1.3599999999999994,9.0
Aymeric Laporte,Man City,Defender,40.0,3.0,3.3,0.0,992.0,5.0,8.0,0.0,0.49,0.04,0.0,0.44,0.04,10.0,11.77,-1.7699999999999996,4.0
Rico Lewis,Man City,Defender,29.0,0.0,2.1,0.0,900.0,4.5,6.444444444444445,0.0,0.21,0.02,0.0,1.63,0.16,8.0,8.9,-0.9000000000000004,2.0
Sergio Gómez,Man City,Defender,21.0,1.0,1.8,0.0,340.0,4.0,5.25,0.0,0.37,0.1,1.0,1.05,0.28,6.0,5.9,0.09999999999999964,1.0
John Stones,Man City,Defender,93.0,13.0,4.0,0.0,1844.0,5.5,16.90909090909091,2.0,1.03,0.05,2.0,0.97,0.05,17.0,13.56,3.4399999999999995,7.0
Kyle Walker,Man City,Defender,69.0,0.0,2.6,0.0,1953.0,5.0,13.8,0.0,0.39,0.02,0.0,1.32,0.06,20.0,20.07,-0.07000000000000028,7.0
Diogo Dalot Teixeira,Man Utd,Defender,102.0,19.0,3.9,0.0,2152.0,5.0,20.4,1.0,2.49,0.1,2.0,1.53,0.06,34.0,34.27,-0.2700000000000031,10.0
Victor Lindelöf,Man Utd,Defender,57.0,3.0,2.9,0.0,1359.0,4.5,12.666666666666666,0.0,0.25,0.02,0.0,0.39,0.03,16.0,19.97,-3.969999999999999,6.0
Harry Maguire,Man Utd,Defender,39.0,2.0,2.4,0.0,762.0,4.5,8.666666666666666,0.0,0.34,0.04,0.0,0.04,0.0,7.0,10.79,-3.789999999999999,5.0
Tyrell Malacia,Man Utd,Defender,62.0,8.0,2.8,0.0,1391.0,4.5,13.777777777777779,0.0,0.23,0.01,0.0,0.71,0.05,14.0,19.21,-5.210000000000001,7.0
Lisandro Martínez,Man Utd,Defender,81.0,6.0,3.0,0.0,2113.0,5.0,16.2,1.0,0.46,0.02,0.0,1.02,0.04,33.0,32.52,0.4799999999999969,9.0
Raphaël Varane,Man Utd,Defender,77.0,2.0,3.2,0.0,1912.0,5.0,15.4,0.0,0.75,0.04,0.0,0.51,0.02,22.0,27.27,-5.27,10.0
Luke Shaw,Man Utd,Defender,124.0,20.0,4.0,0.0,2552.0,5.5,22.545454545454547,1.0,1.09,0.04,4.0,2.9,0.1,35.0,37.85,-2.8500000000000014,12.0
Aaron Wan-Bissaka,Man Utd,Defender,67.0,3.0,3.5,0.0,1432.0,4.5,14.88888888888889,0.0,1.19,0.07,0.0,0.91,0.06,10.0,19.17,-9.170000000000002,8.0
Sven Botman,Newcastle,Defender,129.0,8.0,3.6,0.0,3127.0,4.5,28.666666666666668,0.0,2.75,0.08,2.0,1.09,0.03,30.0,38.0,-8.0,13.0
Dan Burn,Newcastle,Defender,129.0,6.0,3.4,0.0,3109.0,4.5,28.666666666666668,1.0,2.12,0.06,0.0,1.28,0.04,30.0,36.33,-6.329999999999998,14.0
Emil Krafth,Newcastle,Defender,1.0,0.0,1.0,0.0,1.0,4.5,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0
Jamaal Lascelles,Newcastle,Defender,3.0,0.0,0.7,0.0,214.0,4.0,0.75,0.0,0.11,0.05,0.0,0.01,0.0,5.0,4.34,0.6600000000000001,0.0
Jamal Lewis,Newcastle,Defender,2.0,0.0,1.0,0.0,9.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.05,-0.050000000000000044,0.0
Javier Manquillo Gaitán,Newcastle,Defender,4.0,0.0,1.0,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,0.01,0.03,1.0,0.97,0.030000000000000027,0.0
Fabian Schär,Newcastle,Defender,139.0,6.0,3.9,0.0,3207.0,5.0,27.8,1.0,4.63,0.13,3.0,2.05,0.06,28.0,36.65,-8.649999999999999,15.0
Matt Targett,Newcastle,Defender,35.0,2.0,2.1,0.0,600.0,4.5,7.777777777777778,0.0,0.01,0.0,0.0,0.67,0.1,6.0,6.79,-0.79,3.0
Kieran Trippier,Newcastle,Defender,198.0,39.0,5.2,0.0,3342.0,6.5,30.46153846153846,1.0,0.85,0.02,9.0,12.03,0.32,31.0,38.41,-7.409999999999997,16.0
Serge Aurier,Nott'm Forest,Defender,70.0,8.0,2.9,0.0,1943.0,4.5,15.555555555555555,1.0,0.74,0.03,0.0,0.92,0.04,31.0,33.13,-2.1300000000000026,6.0
Giulian Biancone,Nott'm Forest,Defender,2.0,0.0,1.0,0.0,15.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.44999999999999996,0.0
Willy Boly,Nott'm Forest,Defender,37.0,7.0,3.4,0.0,684.0,4.5,8.222222222222221,0.0,0.05,0.01,1.0,0.27,0.04,10.0,10.37,-0.3699999999999992,3.0
Steve Cook,Nott'm Forest,Defender,20.0,0.0,1.7,0.0,956.0,4.5,4.444444444444445,0.0,0.13,0.01,0.0,0.59,0.06,21.0,15.15,5.85,2.0
Felipe Augusto de Almeida Monteiro,Nott'm Forest,Defender,25.0,3.0,1.6,0.0,1417.0,4.5,5.555555555555555,0.0,1.2,0.08,1.0,1.15,0.07,32.0,31.83,0.1700000000000017,1.0
Scott McKenna,Nott'm Forest,Defender,40.0,0.0,2.0,0.0,1570.0,4.5,8.88888888888889,0.0,0.07,0.0,0.0,0.42,0.02,32.0,28.95,3.0500000000000007,5.0
Moussa Niakhaté,Nott'm Forest,Defender,25.0,0.0,1.8,0.0,1163.0,4.5,5.555555555555555,0.0,0.66,0.05,0.0,0.15,0.01,22.0,23.87,-1.870000000000001,2.0
Harry Toffolo,Nott'm Forest,Defender,30.0,1.0,1.6,0.0,933.0,4.5,6.666666666666667,0.0,0.28,0.03,0.0,0.93,0.09,17.0,19.73,-2.7300000000000004,2.0
Neco Williams,Nott'm Forest,Defender,54.0,1.0,1.7,0.0,1872.0,4.5,12.0,1.0,1.24,0.06,1.0,1.22,0.06,41.0,39.55,1.4500000000000028,4.0
Joe Worrall,Nott'm Forest,Defender,61.0,2.0,2.0,0.0,2215.0,4.5,13.555555555555555,1.0,0.85,0.03,0.0,0.55,0.02,44.0,44.46,-0.46000000000000085,5.0
Ben Davies,Spurs,Defender,99.0,3.0,3.2,0.0,2284.0,4.5,22.0,2.0,1.01,0.04,3.0,1.47,0.06,33.0,26.59,6.41,9.0
Eric Dier,Spurs,Defender,96.0,5.0,2.9,0.0,2816.0,4.5,21.333333333333332,2.0,1.76,0.06,1.0,0.55,0.02,52.0,43.12,8.880000000000003,9.0
Emerson Leite de Souza Junior,Spurs,Defender,86.0,9.0,3.3,0.0,1729.0,4.5,19.11111111111111,2.0,1.61,0.08,2.0,0.97,0.05,27.0,22.24,4.760000000000002,7.0
Pedro Porro,Spurs,Defender,59.0,5.0,3.9,0.0,1132.0,5.0,11.8,3.0,1.81,0.14,3.0,2.29,0.18,26.0,19.42,6.579999999999998,2.0
Ivan Perišić,Spurs,Defender,94.0,6.0,2.8,0.0,2099.0,5.0,18.8,1.0,2.48,0.11,8.0,5.23,0.22,44.0,33.91,10.090000000000003,6.0
Cristian Romero,Spurs,Defender,66.0,3.0,2.4,0.0,2363.0,4.5,14.666666666666666,0.0,1.5,0.06,2.0,1.02,0.04,41.0,34.11,6.890000000000001,8.0
Davinson Sánchez,Spurs,Defender,28.0,1.0,1.6,0.0,848.0,4.5,6.222222222222222,0.0,0.65,0.07,0.0,0.2,0.02,17.0,12.76,4.24,2.0
Ryan Sessegnon,Spurs,Defender,35.0,0.0,2.1,0.0,805.0,4.5,7.777777777777778,2.0,1.64,0.18,1.0,1.1,0.12,15.0,10.48,4.52,1.0
Djed Spence,Spurs,Defender,4.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,0.06,1.08,0.0,0.0,0.0,0.0,0.47,-0.47,0.0
Japhet Tanganga,Spurs,Defender,4.0,0.0,1.0,0.0,145.0,4.0,1.0,0.0,0.0,0.0,0.0,0.01,0.01,5.0,3.69,1.31,0.0
Nayef Aguerd,West Ham,Defender,58.0,5.0,3.2,0.0,1594.0,4.5,12.88888888888889,2.0,2.23,0.13,0.0,0.23,0.01,28.0,28.42,-0.4200000000000017,5.0
Vladimír Coufal,West Ham,Defender,58.0,2.0,2.1,0.0,2135.0,4.5,12.88888888888889,0.0,0.28,0.01,2.0,1.71,0.07,35.0,30.46,4.539999999999999,4.0
Aaron Cresswell,West Ham,Defender,74.0,8.0,2.6,0.0,2235.0,4.5,16.444444444444443,0.0,0.36,0.01,1.0,2.85,0.11,32.0,32.82,-0.8200000000000003,6.0
Emerson Palmieri dos Santos,West Ham,Defender,39.0,2.0,1.8,0.0,1317.0,4.5,8.666666666666666,1.0,0.8,0.05,0.0,0.77,0.05,28.0,23.26,4.739999999999998,2.0
Ben Johnson,West Ham,Defender,29.0,1.0,1.7,0.0,860.0,4.5,6.444444444444445,0.0,0.06,0.01,0.0,0.4,0.04,13.0,15.66,-2.66,2.0
Thilo Kehrer,West Ham,Defender,67.0,4.0,2.5,0.0,2229.0,4.5,14.88888888888889,0.0,0.49,0.02,3.0,0.63,0.03,34.0,31.51,2.4899999999999984,5.0
Kurt Zouma,West Ham,Defender,88.0,8.0,3.5,0.0,1988.0,4.5,19.555555555555557,2.0,1.96,0.09,1.0,0.11,0.0,29.0,27.88,1.120000000000001,7.0
Angelo Ogbonna,West Ham,Defender,44.0,4.0,2.8,0.0,1234.0,4.5,9.777777777777779,0.0,0.26,0.02,0.0,0.07,0.01,19.0,20.42,-1.4200000000000017,4.0
Rayan Aït-Nouri,Wolves,Defender,41.0,0.0,2.0,0.0,1067.0,4.5,9.11111111111111,1.0,1.26,0.11,0.0,0.84,0.07,18.0,18.36,-0.35999999999999943,4.0
Hugo Bueno López,Wolves,Defender,41.0,3.0,2.0,0.0,1307.0,4.5,9.11111111111111,0.0,0.17,0.01,1.0,1.0,0.07,29.0,22.62,6.379999999999999,3.0
Craig Dawson,Wolves,Defender,75.0,7.0,3.0,0.0,2134.0,4.5,16.666666666666668,1.0,1.53,0.06,1.0,0.27,0.01,31.0,35.83,-4.829999999999998,7.0
Jonathan Castro Otto,Wolves,Defender,45.0,0.0,2.5,0.0,1257.0,4.5,10.0,1.0,0.3,0.02,0.0,0.83,0.06,21.0,18.32,2.6799999999999997,5.0
Max Kilman,Wolves,Defender,109.0,12.0,2.9,0.0,3307.0,4.5,24.22222222222222,0.0,1.31,0.04,1.0,0.5,0.01,56.0,56.6,-0.6000000000000014,11.0
Nélson Cabral Semedo,Wolves,Defender,75.0,5.0,2.1,0.0,2633.0,4.5,16.666666666666668,0.0,0.53,0.02,1.0,0.91,0.03,43.0,50.02,-7.020000000000003,8.0
Toti António Gomes,Wolves,Defender,43.0,4.0,2.5,0.0,978.0,4.5,9.555555555555555,1.0,0.35,0.03,0.0,0.23,0.02,14.0,20.87,-6.870000000000001,4.0
Matt Doherty,Wolves,Defender,35.0,2.0,2.9,0.0,663.0,4.5,7.777777777777778,1.0,0.74,0.1,0.0,0.27,0.04,9.0,8.61,0.39000000000000057,3.0
